deal,opp_id,ok,win,mom,eng
AC Logistics (Ayala Logistic,006P700000YplAz,True,18.0,22.0,10.10
Nellson LLC,006P700000Z88gz,True,10.0,20.0,10.10
"Riot Games, Inc",006P700000ZRNxH,True,13.0,36.0,10.10
ABB,006P700000a5fH7,True,20.0,50.0,10.10
HMH,006P700000UDok7,True,14.0,8.0,10.10
Ferrero,006P700000aB9Pq,True,28.0,40.0,10.10
WorkSafe Victoria,006P700000KgxjK,True,34.0,55.0,10.10
"Sunrun, Inc.",006P700000QyBpe,True,13.0,16.0,10.10
"Nissan Africa, Middle East &",006P700000RvMHF,True,10.0,8.0,10.10
Grupo Nutresa,006P700000RxBPh,True,16.0,8.0,10.10
ABM Industries Incorporated,006P700000TUz0Z,True,12.0,6.0,10.10
Dutch Mill Company Limited,006P700000TWaHP,False,,,10.10
Nordic Naturals,006P700000Yo41d,True,16.0,36.0,10.10
Reliance Industries Limited,006P700000YOXs5,True,19.0,34.0,10.10
RWDC Industries,006P700000Yr59F,True,12.0,19.0,10.10
University College London,006P700000V10lj,True,21.0,27.0,10.10
Olvi Oyj,006P700000Vs3Wv,True,15.0,15.0,10.10
Pirelli & C. S.p.A,006P700000VshxP,True,30.0,53.0,10.10
Dover Corporation,006P700000WgdDq,True,12.0,5.0,10.10
TEGNA Inc,006P700000WVivH,True,16.0,10.0,10.10
DEPARTMENT OF HEALTH - SA,006P700000aAeM5,True,16.0,30.0,10.10
Apotex Inc,006P700000Pe2j5,True,14.0,16.0,10.10
Federated Co-operatives Limi,006P700000Q9ZSb,True,9.0,8.0,10.10
Tyson Foods,006P700000QRO0r,True,16.0,18.0,10.10
NHS BSA,006P700000SgxwQ,True,10.0,5.0,10.10
The Chemours Company,006P700000NSeID,True,9.0,3.0,10.10
Opella Healthcare Group SAS,006P700000XKkwd,True,12.0,15.0,10.10
Centrient Pharmaceuticals,006P700000Xm8LP,True,13.0,21.0,10.10
PSEG,006P700000XpTBS,True,18.0,36.0,10.10
Axis Pipe and Tube Inc,006P700000Y7rGx,True,15.0,12.0,10.10
AIR FRANCE KLM,006P7000001j0JR,True,18.0,30.0,10.10
The University of New Hampsh,006P700000a2XJJ,True,12.0,15.0,10.10
"Raymond James Financial, Inc",006P700000QeKM2,True,12.0,18.0,10.10
Trimco Group,006P700000Xy7Bh,True,20.0,14.0,10.10
Pluxee,006P700000YmIwC,True,10.0,14.0,10.10
First Gen Corporation,0066700000yP1Px,True,18.0,42.0,10.10
WESTERN CAPE GOVERNMENT,006P700000aAex9,True,10.0,8.0,10.10
Dana-Farber Cancer Institute,006P700000PCIij,True,14.0,5.0,10.10
TEXAS STATE UNIVERSITY,006P700000XDCWe,True,12.0,9.0,10.10
Los Angeles Department of Wa,006P700000Y0p3m,True,15.0,10.0,10.10
Johnson Matthey Plc,006P700000YqEmT,True,8.0,7.0,10.10
EVN AG,006P700000YVZyo,True,20.0,38.0,10.10
CIMA+ Construction,006P700000QG3ZG,True,16.0,12.0,10.10
Southern Nuclear Operating C,006P700000Yk5cG,True,8.0,5.0,10.10
The Boston Beer Company,006P700000YPgtw,True,8.0,0.0,10.10
Northeastern University,006P700000YQCl9,True,27.0,58.0,10.10
Laboratory Corporation of Am,006P700000Ppeea,True,16.0,8.0,10.10
EDENOR,006P700000Url2j,True,10.0,4.0,10.10
Sidel Group,006P700000aBRzW,True,19.0,37.0,10.10
CS Energy,006P700000Ld0O5,True,14.0,12.0,10.10
Brickworks,006P700000O1Os6,True,10.0,18.0,10.10
